detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;700;O;40851;CAMBIO DE LECTURA DE FACTURAS CARGADAS;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\C53641_GAVELLAN;ICA SIREM;NULL;NULL
1;701;V;10182;MODIFICACION DE SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;702;V;15088;CAMBIO DE COLA A QINTGR01;NULL;DV812;PD812;NULL;NULL
1;703;O;40901;SE COMENTARON LAS LINEAS QUE EXTRAE EL CODIGO DE ESTABLECIMIENTO Y PUNTO DE EMISION DESDE EL LIBRO DE DIRECCIONES Y SE PUEDA OBTENER DE LA TABLA DE MANTENIMIENTO DE PUNTOS DE EMISION;NULL;DV812;PD812;NULL;NULL
1;704;O;26495;"SE COLOCO UN NUEVO PARAMETRO EN LA BF ""F03B11 EDIT DOCUMENT"" PARA QUE SE TRASLADE EL NUMERO DE VIAJE (CAMPO PA8 DE LA F4211) EN EL CAMPO CODIGO DE PAGADOR (CAMPO PYR DE LA F03B11)";NULL;DV812;PD812;NULL;NULL
1;706;O;41276;AUMENTAR ORDER BY PARA ORDENAR SALIDA;NULL;\\E3SIS017\PASECONSWEB;BASE DE DATOS DOCDIGFF EN SRBP00DB03;NULL;NULL
1;707;O;41277;CONTROL DE ERROR POR PROBLEMA CON EXCEL;NULL;W:\ ES E3SIS050\_PASES DE VERSION.;SRBP00DB03;NULL;NULL
1;708;O;41279;CAMBIOS EN EL SITIO WEB PARA ACCESO A LA BOLETA ELECTRONICA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\CASO_P9242\ACTUALIZACIÓN\PORTAL\*.*;..\WEBAPP\PORTAL  EN SRBP00AS01;NULL;NULL
1;709;O;41280;NUEVO REPORTE. MUESTRA LAS CANTIDADES EN SALDO, DISPONIBLE, COMPROMETIDO Y BACKORDER DEL INVENTARIO;NULL;DV812;PD812;NULL;NULL
1;710;O;40424;IMPLEMENTACIÓN IGUAL QUE SERINTAGRO;NULL;SABI SERINTAGRO;AMBIENTE EXTERIOR;NULL;NULL
1;711;O;41053;SE ACTUALIZO FUNCIONES PARA CONTEMPLAR FUSION;NULL;\\SRBP00AP03\PASEVERSION\PASE VERSION KEBS-2009-0001.ZIP;SRBP00BI02;NULL;NULL
1;712;O;41281;TOMAR AREA FISCAL DEL CLIENTE;NULL;\\E3SIS017\INCIDENTE1679;BASE FUERZAVENTAS EN SRBP00DB03;NULL;NULL
1;713;O;27856;MODIFICACION (NUEVO MODO DE EXTRACCION DEL PUNTO DE EMISION);NULL;DV812;PD812;NULL;NULL
1;714;O;27952;MEJORA A NIVEL DE CODIGO;NULL;DV812;PD812;NULL;NULL
